,Input Parameters,,Output parameter
Sl.No.,Density of Fluid (kg/m3),Bulk Modulus of Fluid (Pa),Sound wave speed in fluid (m/s)
598,1.77E+03,1.06E+09,724.64
599,1.21E+03,1.11E+09,894.85
600,1.81E+03,2.10E+09,1010.1
601,9.74E+02,9.46E+08,919.54
602,7.76E+02,1.93E+09,1465.2
603,1.22E+03,2.05E+09,1212.12
604,5.08E+02,1.08E+09,1360.54
605,1.73E+03,1.59E+09,894.85
606,8.67E+02,1.40E+09,1190.48
607,1.50E+03,1.99E+09,1075.27
608,1.68E+03,1.31E+09,828.16
609,1.51E+03,2.06E+09,1092.9
610,1.46E+03,1.16E+09,833.33
611,8.26E+02,2.11E+09,1481.48
612,1.20E+03,2.20E+09,1269.84
613,1.90E+03,1.18E+09,740.74
614,8.31E+02,9.89E+08,1017.81
615,7.82E+02,1.68E+09,1360.54
616,8.80E+02,9.33E+08,966.18
617,1.65E+03,2.06E+09,1041.67
618,9.70E+02,2.17E+09,1388.89
619,1.39E+03,1.89E+09,1092.9
620,7.43E+02,1.26E+09,1212.12
621,5.95E+02,1.73E+09,1587.3
622,9.36E+02,2.22E+09,1433.69
623,8.16E+02,2.16E+09,1515.15
624,1.86E+03,1.76E+09,907.03
625,1.90E+03,2.01E+09,959.23
626,5.09E+02,2.07E+09,1932.37
627,1.37E+03,1.69E+09,1033.59
628,5.27E+02,9.21E+08,1234.57
629,1.11E+03,1.27E+09,995.02
630,1.26E+03,1.52E+09,1025.64
631,1.75E+03,1.51E+09,871.46
632,1.42E+03,2.13E+09,1139.6
633,8.53E+02,1.01E+09,1017.81
634,1.85E+03,1.39E+09,813.01
635,1.64E+03,1.16E+09,788.95
636,1.33E+03,1.26E+09,913.24
637,1.84E+03,1.92E+09,959.23
638,1.03E+03,1.32E+09,1058.2
639,9.80E+02,1.25E+09,1058.2
640,1.41E+03,1.11E+09,833.33
641,5.94E+02,1.22E+09,1333.33
642,1.04E+03,2.05E+09,1307.19
643,7.49E+02,1.44E+09,1294.5
644,1.71E+03,1.84E+09,973.24
645,1.57E+03,2.21E+09,1111.11
646,1.50E+03,1.51E+09,938.97
647,1.87E+03,1.76E+09,907.03
648,1.72E+03,2.26E+09,1066.67
649,1.31E+03,1.42E+09,973.24
650,4.84E+02,1.84E+09,1801.8
651,6.06E+02,1.35E+09,1388.89
652,1.25E+03,2.14E+09,1223.24
653,1.93E+03,1.33E+09,779.73
654,1.76E+03,1.33E+09,813.01
655,1.90E+03,2.17E+09,1002.51
656,1.96E+03,1.60E+09,843.88
657,1.03E+03,1.21E+09,1010.1
658,9.54E+02,9.56E+08,938.97
659,1.67E+03,1.15E+09,779.73
660,7.87E+02,1.34E+09,1212.12
661,1.94E+03,2.25E+09,1010.1
662,1.89E+03,2.00E+09,959.23
